Pool stim at high rate noise (K=100, M=15)
=======================================================
 noise   n_reps   pearson   div_tap   div_chem  verdict
  0.01       10     0.990    0.0001     0.0001  PASS
  0.01       30     0.995    0.0001     0.0002  PASS
  0.02       10     0.973    0.0014     0.0003  PASS
  0.02       30     0.988    0.0004     0.0010  PASS
  0.03       10     0.945    0.0151     0.0009  PASS
  0.03       30     0.975    0.0013     0.0024  PASS
  0.05       10     0.929    0.3976     0.0037  FAIL
  0.05       30     0.928    0.0249     0.0065  PASS
  0.08       10     0.837    0.6423     0.0134  FAIL
  0.08       30     0.850    0.2707     0.0205  FAIL
  0.08      100     0.942    0.2869     0.0032  FAIL
  0.10       10     0.787    0.6072     0.0227  FAIL
  0.10       30     0.802    0.5510     0.0318  FAIL
  0.10      100     0.912    0.5461     0.0082  FAIL
